書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1975年05月号,81,オペレーティング・システムの理論③ ストレージ・コントロール(3)――メモリ再配置にページ方式を取り上げ，そのマッピング理論を展開しよう……室信治
bit 1975年05月号,89,アレフ・ゼロ
bit 1975年05月号,90,ぶっくす
bit 1975年06月号,1,表紙
bit 1975年06月号,5,目次
bit 1975年06月号,7,マーケッティング内部構造をディスプレイで……国沢清典
bit 1975年06月号,8,芸術としてのプログラミング 1974年度ACMチューリング賞受賞講演……ドナルドE.クヌース，有澤誠
bit 1975年06月号,26,コンピュータ期待はずれ物語 日本を風びしなかったTSS……石田晴久
bit 1975年06月号,28,読んでわかるプログラム流れ図② 生活のなかの流れ図(2)――流れ図につかわれる記号を1つ1つその特徴と使い方を例題形式で示す……吉田敬一
bit 1975年06月号,39,アメリカ短信……国井利泰
bit 1975年06月号,40,“コンピュータ”はありがたい?……室生朝子
bit 1975年06月号,41,FORTRAN談議(2)……阿部圭一
bit 1975年06月号,49,ミニコンのシステム・プログラム⑥ ローダとダンプ(2)――今月はローダ語で出力するプログラムの例としてダンプをとりあげよう……島内剛一
bit 1975年06月号,55,擬似ランダム系列(7)……中村勝洋，佐藤創
bit 1975年06月号,65,ミニコンをつくる④ 回路の解析と合成――計算機の制御回路に応用される論理回路とはどのように動作し設計されるか……中川圭介
bit 1975年06月号,75,単語帖
bit 1975年06月号,76,ナノピコ教室……TURIPS
bit 1975年06月号,78,ナノピコ教室解答(3月号)……有澤誠
bit 1975年06月号,84,アレフ・ゼロ
bit 1975年06月号,86,NCのポスト・プロセッサについて……稲葉聰
bit 1975年06月号,88,ぶっくす
bit 1975年07月号,1,表紙
bit 1975年07月号,5,目次
bit 1975年07月号,7,ことばとソフト……後藤英一
bit 1975年07月号,8,構造的プログラミング 批判と支持……金山裕
bit 1975年07月号,16,ミニコンのシステム・プログラム⑦ ソフトウェア命令(1)――ハードウェアに具わっていない命令は，ソフトウェアでどう補うのか……島内剛一
bit 1975年07月号,23,擬似ランダム系列(完)……佐藤創，中村勝洋
bit 1975年07月号,34,単語帳
bit 1975年07月号,35,ノイマン先生さようなら 座談会……N.H.K
bit 1975年07月号,44,論理へのアプローチ 1.論理とは……馬目洋一
bit 1975年07月号,46,夫婦生活の未来像……楠本憲吉
bit 1975年07月号,47,ミニコンをつくる⑤ 処理装置の動作――処理装置の内部では，命令はどのように実行され，情報の転送は……中川圭介
bit 1975年07月号,52,コンピュータ期待はずれ物語 宣伝倒れのグラフィックス……石田晴久
bit 1975年07月号,54,ナノピコ教室……野崎昭弘
bit 1975年07月号,59,気象庁におけるコンピュータの利用……大滝俊夫
bit 1975年07月号,66,アメリカ短信 表現論をめぐって……国井利泰
bit 1975年07月号,68,読んでわかるプログラム流れ図③ 生活のなかの流れ図(3)――日常のできごとを流れ図にするとどうなるのか?例題・演習問題を……吉田敬一
bit 1975年07月号,75,FORTRAN談議(3)……阿部圭一
bit 1975年07月号,82,アレフ・ゼロ
bit 1975年07月号,83,オペレーティング・システムの理論④ ストレージ・コントロール(4)――マルチ・プログラミング・システムでは，ページ方式による利点は?……室信治
bit 1975年07月号,91,ナノピコ教室解答(4月号)……一松信
bit 1975年07月号,94,ぶっくす
bit 1975年08月号,1,表紙
bit 1975年08月号,5,目次
bit 1975年08月号,7,数学教育とコンピュータ……福原ますお
bit 1975年08月号,8,グレース ホッパー女史は語る インタビュー……植村俊亮
bit 1975年08月号,16,天気予報と大本営発表……加太こうじ
bit 1975年08月号,17,ミニコンをつくる⑥ 演算装置(1)――ミニコン全体の制御手順を書きあげて，演算装置の内部を設計しよう……中川圭介
bit 1975年08月号,22,ナノピコ教室……野下浩平
bit 1975年08月号,23,(続)シンガポールで計算機教育を行なって(1)……小林光夫
bit 1975年08月号,31,ミニコンのシステム・プログラム⑧ ソフトウェア命令(2)――ソフトウェア命令実行系み演算内容を実行する部分について解説する……島内剛一
bit 1975年08月号,39,ミニコンにおけるマイクロプログラムの現状と実例(1)……柏原新治
bit 1975年08月号,47,単語帖
bit 1975年08月号,48,アメリカ短信 あいまい理論……国井利泰
bit 1975年08月号,50,論理へのアプローチ 2.命題とは……馬目洋一
bit 1975年08月号,52,ナノピコ教室解答(5月号)……金山裕
bit 1975年08月号,57,bitHoyl 蜂の巣ゲーム……駒木悠二
bit 1975年08月号,63,計算機莫迦話 座談会 新人先生再見……N.H.K.
bit 1975年08月号,70,読んでわかるプログラム流れ図④ プログラミングのための流れ図(1)――プログラミングに即した具体例に，流れに沿って詳細な解説を加える……吉田敬一
bit 1975年08月号,77,オペレーティング・システムの理論⑤ プロセッサ・コントロール(1)――プロセスの同期制御の問題について，実例をあげて論理的に取り組む……室信治
bit 1975年08月号,85,アレフ・ゼロ
bit 1975年08月号,86,ぶっくす
bit 1975年09月号,1,表紙
bit 1975年09月号,5,目次
bit 1975年09月号,7,計算機と学術情報……成岡昌夫
bit 1975年09月号,8,コンピュータ ネットワーク システム(1)……山本欣子
bit 1975年09月号,14,ミニコンをつくる⑦ 演算装置(2)――市販されている集積回路をつかって演算装置を組み立て性能を調べる……中川圭介
bit 1975年09月号,20,論理へのアプローチ 3.ifとiff……馬目洋一
bit 1975年09月号,22,コンピュータが笑うとき……金子登
bit 1975年09月号,23,ミニコンのシステム・プログラム⑨ 主制御プログラム(1)――基本的なルーチンを組み合わせてソフトウェアのシステムを構成する……島内剛一
bit 1975年09月号,30,ミニコンにおけるマイクロプログラムの現状と実例(2)……柏原新治
bit 1975年09月号,41,(続)シンガポールで計算機教育を行なって(2)……小林光夫
bit 1975年09月号,49,農業生態学におけるコンピュータ・シミュレーション……高倉直
bit 1975年09月号,58,ナノピコ教室……駒木悠二
bit 1975年09月号,60,ナノピコ教室解答(6月号)……TULIPS
bit 1975年09月号,67,オペレーティング・システムの理論⑥ プロセッサ・コントロール(2)――ダイクストラのいいだした“死の抱擁”の問題は?その解決法は……室信治
bit 1975年09月号,75,計算機莫迦話 ENIAC万歳 10進法について……N.H.K
bit 1975年09月号,82,アメリカ短信 表現論について……国井利泰
bit 1975年09月号,84,単語帖
bit 1975年09月号,85,読んでわかるプログラム流れ図⑤ プログラミングのための流れ図(2)――スイッチ技法はどのような役目をしているのか，またそれの応用は?……吉田敬一
bit 1975年09月号,93,アレフ・ゼロ
bit 1975年09月号,94,ぶっくす
bit 1975年10月号,1,表紙
bit 1975年10月号,5,目次
bit 1975年10月号,7,知識産業の悩み……関根智明
bit 1975年10月号,8,マッカーシは語る LISPをめぐって……西村恕彦
bit 1975年10月号,16,情報化社会……阿部進
bit 1975年10月号,17,ケース スタディ「1」給与計算(1) コンピュータ利用について正しい認識を得るための実際例を紹介する……浦昭二，芳賀敏郎，赤沼恵
bit 1975年10月号,23,ナノピコ教室……大駒誠一
bit 1975年10月号,24,コンピュータ ネットワーク システム(2) サブネットの機能……山本欣子
bit 1975年10月号,31,ミニコンのシステム・プログラム⑩ 主制御プログラム(2)――システム・プログラムをおぼえ込ますための読込みルーチンをあげる……島内剛一
bit 1975年10月号,37,新しいシステム設計とは(1)……井上靖之
bit 1975年10月号,44,論理へのアプローチ 4.真とは……馬目洋一
bit 1975年10月号,46,ミニコンをつくる⑧ 演算装置(3)――論理回路の高速化のよい例である演算回道の構造について考えてみる……中川圭介
bit 1975年10月号,52,アメリカ短信 相互作用技術について……国井利泰
bit 1975年10月号,55,ミニコンにおけるマイクロプログラムの現状と実例(3)……柏原新治
bit 1975年10月号,63,単語帖
bit 1975年10月号,64,読んでわかるプログラム流れ図⑥ プログラミングのための流れ図(3)――給与計算の更新処理について，スイッチ技法の応用例題を取り上げる……吉田敬一
bit 1975年10月号,71,ナノピコ教室解答(7月号)……野崎昭弘
bit 1975年10月号,77,オペレーティング・システムの理論⑦ プロセッサ・コントロール(3)――仕事の実行時間を最短にするための制御はどうスケジュールするのか……室信治
bit 1975年10月号,85,アレフ・ゼロ
bit 1975年10月号,86,ぶっくす
bit 1975年11月号,1,表紙
bit 1975年11月号,5,目次
bit 1975年11月号,7,後始末と前始末……伊理正夫
bit 1975年11月号,8,マッカーシは語る 新計算機をめぐって……西村恕彦
bit 1975年11月号,15,ケース スタディ「2」 給与計算②――中規模の会社での，マスタ ファイルを利用した給与計算を例にとる……浦昭二，芳賀敏郎，赤沼恵
bit 1975年11月号,22,情報とスパイ……戸川幸夫
bit 1975年11月号,23,コンピュータ ネットワーク システム(3)……山本欣子
bit 1975年11月号,32,ナノピコ教室……大野義夫
bit 1975年11月号,33,ミニコンのシステム・プログラム⑪  編集系(1)――ミニコン用の編集系と，それにより取り扱われる言語のことにふれる……島内剛一
